Year,Age_A,Age_B,SS_A,SS_B,Expenses,Income,RMD_A,RMD_B,WD_Taxable,WD_TD,WD_Roth,Taxes,Taxable_End,TD_A_End,TD_B_End,Roth_End,Portfolio_End,Regime,Inflation,Growth
2025,65,60,25000.0,15000.0,81035.59870550163,27000.0,0.0,0.0,51012.49999999997,1987.500000000029,0,2484.3750000000364,154685.27156303194,524602.579459935,367221.80562195444,157842.11383982853,1204351.7704847497,low,0.012944983818770295,0.05228075893219001
2026,66,61,25000.0,15000.0,82927.67747706172,27000.0,0.0,0.0,51707.23885751351,2328.3598479881184,0,2910.4498099851444,109292.75475955255,567792.69164254,397454.88414977794,171396.47798999364,1245936.8085418642,low,0.023348735639459495,0.08587292592849782
2027,67,62,25624.999999999996,15000.0,84522.44050546676,52000.0,0.0,0.0,29333.539169345957,1594.1383077157625,0,1992.6728846447018,86774.79582754099,627427.1985029238,439199.0389520466,189789.82601557882,1343190.8592980902,low,0.019230769230769384,0.10731462070451049
2028,68,63,26265.624999999993,15000.0,86403.10510666913,52625.0,0.0,0.0,29948.95806141248,1948.4824440542798,0,2435.60305506785,58205.66866902821,663961.0766164529,464772.753631517,201300.58500417083,1388240.083921169,low,0.022250476795931284,0.06065003182861425
2029,69,64,26922.26562499999,15000.0,86403.10510666913,53265.62499999999,0.0,0.0,30944.76843200461,2192.711674664526,0,2740.8895933306594,31252.795894959796,825757.7706715025,578030.4394700517,250963.72962974533,1686004.7356662592,low,0.0,0.24671137753795147
2030,70,65,27595.322265624985,15000.0,88982.3022740324,53922.265624999985,0.0,0.0,28666.339265933588,3814.5002157355557,0,3540.0816829600967,0.0,800478.9121363732,560335.2384954613,244110.14414190737,1604924.2947737419,mid,0.029850746268656803,-0.027309067720460142
2031,71,66,28285.205322265607,15000.0,93424.92749697008,54595.322265624985,0.0,0.0,0.0,34386.98000840741,0,8596.745002101852,0.0,783305.8882953135,548314.1218067196,246664.47692236013,1578284.4870243934,mid,0.04992706537594471,0.010463853476600553
2032,72,67,28992.335455322245,15374.999999999998,96476.36769828647,70285.20532226561,0.0,0.0,0.0,23139.722174704468,0,5784.930543676117,0.0,796120.331576778,557284.2321037446,256266.23052919502,1609670.7942097175,mid,0.032661948829613596,0.038926373698540864
2033,73,68,29717.1438417053,15759.374999999996,100301.42192420973,71367.33545532225,0.0,0.0,0.0,25109.032242964226,0,6277.258060741056,0.0,926857.9799533376,648800.5859673363,305433.0559729228,1881091.6218935966,mid,0.0396475770925111,0.19185838626571014
2034,74,69,30460.07243774793,16153.359374999995,103663.64878878032,72476.5188417053,0.0,0.0,0.0,27824.903082504432,0,6956.225770626108,0.0,1054822.8282287228,738375.9797601061,355448.2522200903,2148647.0602089195,mid,0.033521228314302265,0.16375174614892163
2035,75,70,31221.574248691628,16557.193359374993,107859.5482496695,73613.43181274793,34303.18140581212,0.0,30050.216976032316,34303.181405812196,0,8575.79535145312,4587.79270926787,1091612.3801697644,796506.9994289554,383432.05709383136,2276139.229401819,mid,0.040476092727919744,0.07872821064376422
