Year,Age_A,Age_B,SS_A,SS_B,Expenses,Income,RMD_A,RMD_B,WD_Taxable,WD_TD,WD_Roth,Taxes,Taxable_End,TD_A_End,TD_B_End,Roth_End,Portfolio_End,Regime,Inflation,Growth
2025,65,60,25000.0,15000.0,81097.05988884518,27000.0,0,0.0,51012.49999999997,1987.500000000029,0.0,2484.3750000000364,159227.9969686109,540008.8650194092,378006.20551358646,162477.547927154,1239720.6154287606,low,0.013713248610564666,0.08318365284769323
2026,66,61,25000.0,15000.0,82008.26280894456,27000.0,0,0.0,51601.04880503217,2496.011083813006,0.0,3120.013854766261,118173.39435506896,604938.9307193115,423457.251503518,182634.37840825313,1329203.9549861515,low,0.011235955056179803,0.12405917456445341
2027,67,62,25624.999999999996,15000.0,83246.1233796456,52000.0,0,0.0,28279.718426260806,1728.5443826837582,0.0,2160.680478354698,96738.62415617415,662370.771208117,463659.53984568187,200394.39834090666,1423163.3335508797,low,0.015094339622641506,0.09724357531939311
2028,68,63,0.0,25624.999999999996,61712.80533780086,13500.0,0,0.0,45715.133853872525,3219.4586808616805,0.0,4024.3233510770974,60391.04755102393,0.0,1417435.1965221888,253159.14220374683,1730985.3862769597,low,-0.011560693641618491,0.2633044850539082
2029,69,64,0.0,25624.999999999996,61818.0716072824,13500.0,0,0.0,44194.638079637996,4018.1672581628663,0.0,5022.709072703583,12131.983466612744,0.0,1407047.474155922,252197.52357223586,1671376.9811947704,low,0.0017057443573555986,-0.0037984748373695145
2030,70,65,0.0,25624.999999999996,62668.07009188253,13500.0,0,0.0,11123.959266593387,37194.11234068901,0.0,10306.55228519161,0.0,0.0,1262554.7105777792,234031.85486411004,1496586.5654418892,low,0.013749999999999929,-0.07202952848552739
2031,71,66,0.0,25624.999999999996,61773.937080768774,13500.0,0,0.0,0.0,49168.07009188253,0.0,12292.017522970633,0.0,0.0,1260852.629166549,245675.63110574806,1506528.260272297,low,-0.014267760436898702,0.04975295456423624
2032,72,67,0.0,26265.624999999993,63294.52630121847,39125.0,0,0.0,0.0,22648.937080768774,0.0,5662.234270192193,0.0,0.0,1466502.874777503,292309.8586216175,1758812.7333991206,low,0.024615384615384706,0.18982032245516547
2033,73,68,0.0,26922.26562499999,64606.20495670872,39765.62499999999,0,0.0,0.0,23528.90130121848,0.0,5882.22532530462,0.0,0.0,1635115.7332333552,332588.6808732899,1967704.4141066452,low,0.020723413731670526,0.13779494965242195
2034,74,69,0.0,27595.322265624985,66421.22877489051,40422.265624999985,0,0.0,0.0,24183.939331708738,0.0,6045.9848329271845,0.0,0.0,1589878.765066883,329478.69451776566,1919357.4595846487,low,0.02809364548494986,-0.00935084846350821
